title,location,category,type,rating,price,price_label,image_url,link,id,created_date,updated_date,created_by_id,created_by,is_sample
"Muri Lagoon BBQ Lunch Cruise with Snorkeling","Rarotonga, Cook Islands","experience","","4.8","85","per person","https://dynamic-media.tacdn.com/media/photo-o/2f/18/8d/9b/caption.jpg?w=1400&h=1000&s=1","https://www.viator.com/tours/Rarotonga/Half-Day-Muri-Lagoon-BBQ-Lunch-Cruise-including-Snorkeling/d22128-9214P1","68c9d9a97b0d970605c81222","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Ruby Bea Hotel","Florence, Italy","hotel","","4.7","210","per night","https://images.trvl-media.com/lodging/103000000/102430000/102429800/102429735/709afed8.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/4v4hvrwp","68c9d9a97b0d970605c81223","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Secret Food Tours","Paris, France","experience","","4.9","110","per person","https://dynamic-media.tacdn.com/media/photo-o/2e/a7/93/45/caption.jpg?w=1400&h=1000&s=1","https://www.viator.com/tours/Paris/Secret-Food-Tours-Paris/d479-7812P1","68c9d9a97b0d970605c81224","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Casa Camper","Barcelona, Spain","hotel","","4.5","220","per night","https://images.trvl-media.com/lodging/2000000/1180000/1177400/1177369/20b89f97.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/2v2j7vc4","68c9d9a97b0d970605c81225","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Versailles Tour","Paris, France","experience","","4.9","95","per person","https://dynamic-media.tacdn.com/media/photo-o/30/6a/f3/40/caption.jpg?w=1400&h=1000&s=1","https://www.viator.com/tours/Versailles/Golden-Versailles-Palace-and-Garden-Tour/d763-67584P2","68c9d9a97b0d970605c81226","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"InterContinental ANA","Tokyo, Japan","hotel","","4.7","320","per night","https://images.trvl-media.com/lodging/1000000/30000/22200/22199/eb48e1f5.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/2n3c7hm7","68c9d9a97b0d970605c81227","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Tuscan Cooking Class","San Gimignano, Italy","experience","","4.8","125","per person","https://dynamic-media.tacdn.com/media/photo-o/2f/31/a0/ec/caption.jpg?w=1400&h=1000&s=1","https://www.viator.com/tours/San-Gimignano/Tuscan-cooking-class/d29096-242735P2","68c9d9a97b0d970605c81228","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"The Social Hub Belfiore","Florence, Italy","hotel","","4.5","145","per night","https://images.trvl-media.com/lodging/111000000/110560000/110551000/110550930/66ceba72.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/24d62c35","68c9d9a97b0d970605c81229","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"3 Course Seine River Dinner Cruise","Paris, France","experience","","4.6","120","per person","https://dynamic-media.tacdn.com/media/photo-o/2e/a7/89/37/caption.jpg?w=1400&h=1000&s=1","https://www.viator.com/tours/Paris/Bistro-Style-Seine-River-Dinner-Cruise/d479-6557DINNERCRUISE","68c9d9a97b0d970605c8122a","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Miiro Borneta","Barcelona, Spain","hotel","","4.6","180","per night","https://images.trvl-media.com/lodging/105000000/104340000/104330300/104330231/31bd4838.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/tkrcw636","68c9d9a97b0d970605c8122b","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Louvre Museum Masterpieces Guided Tour with Reserved Access","Paris, France","experience","","4.7","65","per person","https://dynamic-media.tacdn.com/media/photo-o/2e/a7/52/d1/caption.jpg?w=1400&h=1000&s=1","https://www.viator.com/tours/Paris/Skip-the-Line-Louvre-Museum-Walking-Tour-including-Venus-de-Milo-and-Mona-Lisa/d479-3731LOUVRE","68c9d9a97b0d970605c8122c","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"124 on Queen Hotel & Spa","Niagara-on-the-Lake, Canada","hotel","","4.8","280","per night","https://images.trvl-media.com/lodging/13000000/12040000/12034300/12034264/8eca405f.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/4z78m8dj","68c9d9a97b0d970605c8122d","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
